name,module_name,value,updated_at
syria,Registered Syrian Refugees,1370125,2009-05-22
syria,Registered Syrian Refugees,389562,2008-11-24
syria,Registered Syrian Refugees,632020,2009-01-31
syria,Registered Syrian Refugees,416984,2008-12-04
syria,Registered Syrian Refugees,220712,2008-09-13
syria,Registered Syrian Refugees,2737514,2010-05-19
syria,Registered Syrian Refugees,1932391,2009-09-16
syria,Registered Syrian Refugees,3006471,2010-09-23
syria,Registered Syrian Refugees,80878,2008-06-11
syria,Registered Syrian Refugees,2520267,2010-03-12
syria,Registered Syrian Refugees,2805396,2010-06-15
syria,Registered Syrian Refugees,1993882,2009-09-24
syria,Registered Syrian Refugees,2923305,2010-08-10
syria,Registered Syrian Refugees,994246,2009-03-30
syria,Registered Syrian Refugees,2112829,2009-10-30
syria,Registered Syrian Refugees,20043,2008-02-16
syria,Registered Syrian Refugees,2895347,2010-07-23
syria,Registered Syrian Refugees,1635861,2009-07-16
syria,Registered Syrian Refugees,208140,2008-09-04
syria,Registered Syrian Refugees,2975475,2010-09-07
